	user_id	job_seeking_status	number_contacts	A1	A2	A3	A4	A5	action	pa_1	pa_2	pa_3	pa_4	pa_5	qtt_actions	timestamp
17169	3757	3	144	0	1	0	3	0	4	4	2	0	0	0	4	433402
17170	3757	3	144	0	1	0	3	0	4	2	0	0	0	0	4	433460
17171	3757	3	144	0	1	0	3	0	4	0	0	0	0	0	4	554883
17172	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120453
17173	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120454
17174	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120455
17175	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120456
17176	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120457
17177	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120458
17178	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120487
17179	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120488
17180	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120489
17181	3758	2	8	0	0	15	0	0	3	3	3	3	3	3	15	120490
17182	3758	2	8	0	0	15	0	0	3	3	3	3	3	0	15	120491
17183	3758	2	8	0	0	15	0	0	3	3	3	3	0	0	15	120492
17184	3758	2	8	0	0	15	0	0	3	3	3	0	0	0	15	120493
17185	3758	2	8	0	0	15	0	0	3	3	0	0	0	0	15	120494
17186	3758	2	8	0	0	15	0	0	3	0	0	0	0	0	15	120495
17187	3759	2	0	0	0	1	0	7	3	5	5	5	5	5	8	52761
17188	3759	2	0	0	0	1	0	7	5	5	5	5	5	5	8	257381
17189	3759	2	0	0	0	1	0	7	5	5	5	5	5	3	8	257507
17190	3759	2	0	0	0	1	0	7	5	5	5	5	3	0	8	257546
17191	3759	2	0	0	0	1	0	7	5	5	5	3	0	0	8	257623
17192	3759	2	0	0	0	1	0	7	5	5	3	0	0	0	8	257726
17193	3759	2	0	0	0	1	0	7	5	3	0	0	0	0	8	257806
17194	3759	2	0	0	0	1	0	7	5	0	0	0	0	0	8	258293
17195	3760	2	2	0	0	1	0	0	3	0	0	0	0	0	1	15969
17196	3761	3	9	0	0	6	0	0	3	3	3	3	3	3	6	58314
17197	3761	3	9	0	0	6	0	0	3	3	3	3	3	0	6	58375
17198	3761	3	9	0	0	6	0	0	3	3	3	3	0	0	6	58380
17199	3761	3	9	0	0	6	0	0	3	3	3	0	0	0	6	58396
17200	3761	3	9	0	0	6	0	0	3	3	0	0	0	0	6	58397
17201	3761	3	9	0	0	6	0	0	3	0	0	0	0	0	6	166344
17202	3763	2	0	0	0	0	3	0	4	4	4	0	0	0	3	54388
17203	3763	2	0	0	0	0	3	0	4	4	0	0	0	0	3	54390
17204	3763	2	0	0	0	0	3	0	4	0	0	0	0	0	3	54403
17205	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28462
17206	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28463
17207	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28464
17208	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28465
17209	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28466
17210	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28477
17211	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28478
17212	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28479
17213	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28480
17214	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28481
17215	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28482
17216	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28483
17217	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28484
17218	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28485
17219	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28486
17220	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28487
17221	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28488
17222	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28489
17223	3765	3	25	0	0	24	0	0	3	3	3	3	3	3	24	28490
17224	3765	3	25	0	0	24	0	0	3	3	3	3	3	0	24	28491
17225	3765	3	25	0	0	24	0	0	3	3	3	3	0	0	24	28492
17226	3765	3	25	0	0	24	0	0	3	3	3	0	0	0	24	28493
17227	3765	3	25	0	0	24	0	0	3	3	0	0	0	0	24	28494
17228	3765	3	25	0	0	24	0	0	3	0	0	0	0	0	24	28495
17229	3766	3	2	0	1	32	6	3	3	4	4	3	3	3	42	9776
17230	3766	3	2	0	1	32	6	3	3	4	3	3	3	5	42	9777
17231	3766	3	2	0	1	32	6	3	3	3	3	3	5	3	42	10079
17232	3766	3	2	0	1	32	6	3	3	3	3	5	3	3	42	24780
17233	3766	3	2	0	1	32	6	3	3	3	5	3	3	3	42	24781
17234	3766	3	2	0	1	32	6	3	3	5	3	3	3	3	42	24828
17235	3766	3	2	0	1	32	6	3	3	3	3	3	3	5	42	211425
17236	3766	3	2	0	1	32	6	3	3	3	3	3	5	4	42	211426
17237	3766	3	2	0	1	32	6	3	3	3	3	5	4	5	42	234354
17238	3766	3	2	0	1	32	6	3	3	3	5	4	5	3	42	234673
17239	3766	3	2	0	1	32	6	3	3	5	4	5	3	4	42	235342
17240	3766	3	2	0	1	32	6	3	3	4	5	3	4	4	42	238052
17241	3766	3	2	0	1	32	6	3	3	5	3	4	4	3	42	238121
17242	3766	3	2	0	1	32	6	3	3	3	4	4	3	3	42	241917
17243	3766	3	2	0	1	32	6	3	2	4	4	3	3	3	42	242500
17244	3766	3	2	0	1	32	6	3	3	4	3	3	3	3	42	252576
17245	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	252577
17246	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	252762
17247	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	252763
17248	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	253314
17249	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	253315
17250	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	265627
17251	3766	3	2	0	1	32	6	3	3	3	3	3	3	2	42	265628
17252	3766	3	2	0	1	32	6	3	3	3	3	3	2	3	42	266186
17253	3766	3	2	0	1	32	6	3	3	3	3	2	3	3	42	266187
17254	3766	3	2	0	1	32	6	3	4	3	2	3	3	3	42	266252
17255	3766	3	2	0	1	32	6	3	4	2	3	3	3	3	42	275619
17256	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	281041
17257	3766	3	2	0	1	32	6	3	5	3	3	3	3	3	42	291573
17258	3766	3	2	0	1	32	6	3	4	3	3	3	3	3	42	292131
17259	3766	3	2	0	1	32	6	3	5	3	3	3	3	3	42	292198
17260	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	299402
17261	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	299403
17262	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	319152
17263	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	338826
17264	3766	3	2	0	1	32	6	3	5	3	3	3	3	3	42	357880
17265	3766	3	2	0	1	32	6	3	3	3	3	3	3	3	42	372056
17266	3766	3	2	0	1	32	6	3	3	3	3	3	3	0	42	385821
17267	3766	3	2	0	1	32	6	3	3	3	3	3	0	0	42	391374
17268	3766	3	2	0	1	32	6	3	4	3	3	0	0	0	42	415393
17269	3766	3	2	0	1	32	6	3	4	3	0	0	0	0	42	479466
17270	3766	3	2	0	1	32	6	3	4	0	0	0	0	0	42	482416
17271	3767	2	40	0	0	1	0	0	3	0	0	0	0	0	1	42611
17272	3768	2	0	0	0	16	1	32	3	5	4	5	5	5	49	423151
17273	3768	2	0	0	0	16	1	32	3	4	5	5	5	5	49	423210
17274	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	425464
17275	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	425523
17276	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	425820
17277	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	425863
17278	3768	2	0	0	0	16	1	32	5	5	5	5	5	5	49	425879
17279	3768	2	0	0	0	16	1	32	5	5	5	5	5	3	49	426043
17280	3768	2	0	0	0	16	1	32	5	5	5	5	3	3	49	426100
